name,OODR_2015,ADODR_2015,OOP_2015,OODR_2016,ADODR_2016,OOP_2016,OODR_2017,ADODR_2017,OOP_2017,OODR_2018,ADODR_2018,OOP_2018
United States,10.4,16.3,63.8,13.3,19.8,67.2,14.9,21.7,68.7,14.6,20.7,70.5
Alabama,6.1,15.7,38.9,7.5,16.2,46.3,9,18,50.0,8.3,16.6,50.0
Alaska,11,16,68.8,12.5,16.8,74.4,13.9,20.2,68.8,8.8,14.6,60.3
Arizona,10.2,19,53.7,11.4,20.3,56.2,13.5,22.2,60.8,15.9,23.8,66.8
Arkansas,7.2,13.8,52.2,5.9,14,42.1,6.5,15.5,41.9,7.4,15.7,47.1
California,4.9,11.3,43.4,4.9,11.2,43.8,5.3,11.7,45.3,5.8,12.8,45.3
Colorado,8.7,15.4,56.5,9.5,16.6,57.2,10,17.6,56.8,9.5,16.8,56.5
Connecticut,19.2,22.1,86.9,24.5,27.4,89.4,27.7,30.9,89.6,27.5,30.7,89.6
Delaware,14.8,22,67.3,16.9,30.8,54.9,27.8,37,75.1,39.3,43.8,89.7
District of Columbia,14.5,18.6,78.0,30,38.8,77.3,34.7,44,78.9,26.7,35.4,75.4
Florida,9.4,16.2,58.0,14.4,23.7,60.8,16.3,25.1,64.9,15.8,22.8,69.3
Georgia,8.4,12.7,66.1,8.8,13.3,66.2,9.7,14.7,66.0,8.3,13.2,62.9
Hawaii,4.1,11.3,36.3,5.2,12.8,40.6,3.4,13.8,24.6,4.1,14.3,28.7
Idaho,6,14.2,42.3,7.4,15.2,48.7,6.2,14.4,43.1,7.1,14.6,48.6
Illinois,10.7,14.1,75.9,15.3,18.9,81.0,17.2,21.6,79.6,17,21.3,79.8
Indiana,8.5,19.5,43.6,12.6,24,52.5,18.8,29.4,63.9,17.5,25.6,68.4
Iowa,5.8,10.3,56.3,6.2,10.6,58.5,6.9,11.5,60.0,4.8,9.6,50.0
Kansas,5.4,11.8,45.8,5.1,11.1,45.9,5.1,11.8,43.2,5.7,12.4,46.0
Kentucky,21,29.9,70.2,23.6,33.5,70.4,27.9,37.2,75.0,23.4,30.9,75.7
Louisiana,6.3,19,33.2,7.7,21.8,35.3,9.3,24.5,38.0,10,25.4,39.4
Maine,19.3,21.2,91.0,25.2,28.7,87.8,29.9,34.4,86.9,23.4,27.9,83.9
Maryland,17.7,20.9,84.7,29.7,33.2,89.5,32.2,36.3,88.7,33.7,37.2,90.6
Massachusetts,23.3,25.7,90.7,29.7,33,90.0,28.2,31.8,88.7,29.3,32.8,89.3
Michigan,13.6,20.4,66.7,18.5,24.4,75.8,21.2,27.8,76.3,20.8,26.6,78.2
Minnesota,6.2,10.6,58.5,7.4,12.5,59.2,7.8,13.3,58.6,6.3,11.5,54.8
Mississippi,5.3,12.3,43.1,6.2,12.1,51.2,6.4,12.2,52.5,6.1,10.8,56.5
Missouri,11.7,17.9,65.4,15.9,23.6,67.4,16.5,23.4,70.5,19.6,27.5,71.3
Montana,5,13.8,36.2,4.2,11.7,35.9,3.6,11.7,30.8,6.2,12.2,50.8
Nebraska,3.1,6.9,44.9,2.4,6.4,37.5,3.1,8.1,38.3,3.3,7.4,44.6
Nevada,13.8,20.4,67.6,13.3,21.7,61.3,13.3,21.6,61.6,11.5,21.2,54.2
New Hampshire,31.3,34.3,91.3,35.8,39,91.8,34,37,91.9,33.1,35.8,92.5
New Jersey,9.8,16.3,60.1,16,23.2,69.0,22,30,73.3,29.7,33.1,89.7
New Mexico,17.9,25.3,70.8,17.5,25.2,69.4,16.7,24.8,67.3,16.7,26.7,62.5
New York,10.8,13.6,79.4,15.1,18,83.9,16.1,19.4,83.0,15.1,18.4,82.1
North Carolina,11.9,15.8,75.3,15.4,19.7,78.2,19.8,24.1,82.2,17.9,22.4,79.9
North Dakota,4.8,8.6,55.8,7.6,10.6,71.7,4.8,9.2,52.2,5.2,10.2,51.0
Ohio,24.7,29.9,82.6,32.9,39.1,84.1,39.2,46.3,84.7,29.6,35.9,82.5
Oklahoma,11.2,19,58.9,11.6,21.5,54.0,10.2,20.1,50.7,7.8,18.4,42.4
Oregon,7.9,12,65.8,7.6,11.9,63.9,8.1,12.4,65.3,8,12.6,63.5
Pennsylvania,11.2,26.3,42.6,18.5,37.9,48.8,21.2,44.3,47.9,23.8,36.1,65.9
Rhode Island,23.5,28.2,83.3,26.7,30.8,86.7,26.9,31,86.8,25.9,30.1,86.0
South Carolina,11.4,15.7,72.6,13.1,18.1,72.4,15.5,20.5,75.6,17.1,22.6,75.7
South Dakota,3.5,8.4,41.7,5,8.4,59.5,4,8.5,47.1,3.5,6.9,50.7
Tennessee,16,22.2,72.1,18.1,24.5,73.9,19.3,26.6,72.6,19.9,27.5,72.4
Texas,4.7,9.4,50.0,4.9,10.1,48.5,5.1,10.5,48.6,4.8,10.4,46.2
Utah,15.9,23.4,67.9,16.4,22.4,73.2,15.5,22.3,69.5,14.8,21.2,69.8
Vermont,13.4,16.7,80.2,18.4,22.2,82.9,20,23.2,86.2,22.8,26.6,85.7
Virginia,9.9,12.4,79.8,13.5,16.7,80.8,14.8,17.9,82.7,14.3,17.1,83.6
Washington,9.3,14.7,63.3,9.4,14.5,64.8,9.6,15.2,63.2,9.4,14.8,63.5
West Virginia,36,41.5,86.7,43.4,52,83.5,49.6,57.8,85.8,42.4,51.5,82.3
Wisconsin,11.2,15.5,72.3,15.8,19.3,81.9,16.9,21.2,79.7,15.3,19.2,79.7
Wyoming,7.9,16.4,48.2,8.7,17.6,49.4,8.7,12.2,71.3,6.8,11.1,61.3
